"Card name","Network (as per public naming)","Joining & annual fee / waiver","Rewards: base vs accelerated (with known caps)","Lounge access (domestic / international, spend criteria)","Fuel surcharge waiver & forex markup"
"Axis Bank Cashback Credit Card","Not stated (network not specified) axis.bank+1","₹1,000 + GST joining & annual; annual fee waived on spends ≥₹4 lakh in preceding anniversary year.axis.bank+2","7% cashback on online purchases; 0.75% on offline & travel; 0.5% on utility. Cashback caps per statement cycle exist but are documented in MITC rather than public summaries.axis.bank","No airport lounge access advertised in current marketing; some older variants may have limited lounge, but present consumer version is positioned primarily as a cashback card.axis.bank","No dedicated fuel waiver beyond standard issuer terms. Forex markup treated as standard portfolio (1.5–3.5%).axis.bank+2"
"IndiGo Axis Bank Premium Credit Card","Not stated (network not specified) axis.bank+1","₹5,000 + GST joining & annual.axis.bank+1","7 IndiGo BluChips/₹100 on IndiGo channels, 3/₹100 on grocery & hotel, 2/₹100 on other spends. Programme‑specific caps (e.g. on bonus vouchers and milestone BluChips) detailed in IndiGo/Axis programme terms.axis.bank","Domestic & international lounge access at select airports for cardholders; visit counts / spend criteria are in airline co‑brand MITC.axis.bank","Fuel surcharge waiver usually limited to spends at select fuel stations; co‑brand terms emphasise travel more than fuel. Forex markup within 1.5–3.5%.axis.bank+1"
"IndiGo Axis Bank Credit Card","Not stated (network not specified) axis.bank+1","₹799 + GST joining & annual.axis.bank+2","3 BluChips/₹100 on IndiGo, 2/₹100 on grocery & dining, 1/₹100 on other spends.axis.bank","Domestic lounge access at select airports (fixed free visits/year); thresholds and visit caps are in co‑brand MITC.axis.bank","No strong fuel‑specific waiver beyond general issuer fuel rules. Forex markup portfolio band 1.5–3.5%.axis.bank+1"
"Axis Bank SuperMoney RuPay Credit Card","RuPay (named explicitly) axis.bank","Lifetime‑free (joining & annual both Nil) as per current marketing.axis.bank","3% cashback on UPI spends via super.money UPI; 1% cashback on other qualifying spends. Monthly cashback caps appear in programme terms, not in public summary.axis.bank","No airport lounge access listed.axis.bank","No dedicated fuel waiver mentioned. Forex markup standard 1.5–3.5%.axis.bank+1"
"Google Pay Flex Axis Bank Credit Card","Not stated (network in card art, but not in text) axis.bank+1","Lifetime‑free: joining fee ₹0, annual fee ₹0.axis.bank+1","Stars‑based system: 1 Star per ₹500 spend (≈0.2%); welcome 250 Stars + ₹250 gift card. Redemption via Google Pay for instant cashback (1 Star ≈₹1).axis.bank","No direct lounge access benefits.axis.bank+1","No explicit fuel waiver advertised. Forex markup within 1.5–3.5% portfolio band.axis.bank+1"
"Fibe Axis Bank RuPay Credit Card","RuPay axis.bank","Nil joining & annual fee.axis.bank","3% cashback on entertainment, food delivery & commute; base rewards on other spends not emphasised in summary.axis.bank","Complimentary domestic lounge access “basis spends” mentioned; precise minimum spend & visit caps in MITC.axis.bank+1","Standard fuel surcharge waiver terms, if any, are issuer‑wide; details not summarised. Forex markup portfolio 1.5–3.5%.axis.bank+1"
"Axis Bank Olympus Credit Card (invite only)","Not stated (network not specified) axis.bank","₹20,000 + GST joining & annual; invite‑only for HNI.axis.bank","Earn 1 EDGE Mile/₹100 domestic and 2 EDGE Miles/₹100 international, with welcome EDGE Miles and hotel vouchers.axis.bank","Premium domestic & international lounge access with higher visit caps; detailed structure in super‑premium MITC.axis.bank","Fuel waiver, concierge & travel insurance at premium levels; fuel caps & forex markup specifics (likely towards lower end of 1.5–3.5% band) only in MITC.axis.bank+1"
"Axis Bank Magnus Credit Card","Not stated (network not specified) axis.bank+1","₹12,500 + GST joining & annual; Nil for eligible Burgundy Salary Account customers; annual fee waived on eligible spends of ₹25 lakh per year.axis.bank+2","12 EDGE Reward Points/₹200 on spends up to ₹1.5 lakh/month; 35 EDGE Points/₹200 thereafter, enabling high effective rewards especially when transferred via EDGE Miles partners.axis.bank","Unlimited domestic and international lounge access for primary cardholder at partner lounges, including Priority Pass‑like arrangements; accompanying guest access rules and any minimum‑spend criteria are in MITC.axis.bank+1","Fuel surcharge waiver present; precise %/cap in MITC. Forex markup explicitly 2% for Magnus (lower than standard).axis.bank+1"
"Axis Bank Shoppers Stop Credit Card","Not stated (network not specified) axis.bank+1","Limited‑time Nil joining fee; annual fee ₹500 + GST, with waiver on spends ≥₹1 lakh in preceding year.axis.bank+2","Accelerated: 20 First Citizen points/₹200 at Shoppers Stop private labels; base points on non‑private‑label & other spends.axis.bank","No general airport lounge access; focus is retail perks.axis.bank","No special fuel benefit beyond issuer standard; forex markup in 1.5–3.5% band.axis.bank+1"
"Samsung Axis Bank Signature Credit Card","Not stated (network not specified) axis.bank+1","₹500 + GST joining & annual.axis.bank+2","Up to ₹10,000 cashback annually on Samsung purchases; 10 EDGE Points/₹100 on select brands (Zomato, UrbanCompany, Tata 1mg, Myntra, BigBasket); 5 EDGE Points/₹100 on other eligible spends.axis.bank","No lounges explicitly listed; card emphasises shopping and brand cashback.axis.bank","No dedicated fuel waiver disclosed; forex markup portfolio standard.axis.bank+1"
"SpiceJet Axis Bank Voyage Credit Card","Not stated (network not specified) axis.bank+1","₹750 + GST joining & annual.axis.bank+2","Up to 18 SpiceClub points/₹200 on SpiceJet website/app; 6 points/₹200 on online spends; 3 points/₹200 on other spends.axis.bank","Up to 4 complimentary domestic lounge visits per year; exact visits & spend criteria in co‑brand MITC.axis.bank+1","Fuel waiver not central to value proposition; standard issuer fuel and forex terms apply (1.5–3.5% markup).axis.bank+1"
"SpiceJet Axis Bank Voyage Black Credit Card","Not stated (network not specified) axis.bank+1","₹2,000 + GST joining & annual; first‑year fee often Nil in promos.axis.bank+1","28 SpiceClub points/₹200 on SpiceJet app/website; 12 points/₹200 on online entertainment, food, bills; 6 points/₹200 elsewhere.axis.bank","Complimentary domestic lounge access plus SpiceClub Gold; visit limits and spend triggers in MITC.axis.bank","Fuel waiver not highlighted; forex markup portfolio band.axis.bank+1"
"Airtel Axis Bank Credit Card","Not stated (network not specified) axis.bank+1","₹500 + GST joining & annual.axis.bank+2","25% cashback on Airtel recharges (capped at 2× base cashback per month); 10% on utility bills (capped at base cashback); 10% value back on Zomato/Blinkit/District (₹200 cap per partner/month); 1% on other spends.axis.bank","No airport lounge access.axis.bank","No explicit fuel waiver; forex markup in 1.5–3.5% band.axis.bank+1"
"Axis Bank Pride Signature Credit Card","Not stated (network not specified) axis.bank+1","Nil joining; annual fee ₹500 + GST.axis.bank+1","8 EDGE Reward Points/₹200 on spends; targeted at defence personnel with patriotic card design.axis.bank","No lounge access advertised; benefits focus on rewards and dining.axis.bank+1","Fuel surcharge waiver mentioned; exact waiver caps and forex markup only in MITC (standard portfolio band).axis.bank+1"
"Axis Bank Pride Platinum Credit Card","Not stated (network not specified) axis.bank+1","Nil joining; annual fee ₹250 + GST.axis.bank+1","4 Reward Points/₹200; similar defence‑segment positioning.axis.bank","No lounge access.axis.bank","Fuel surcharge waiver plus annual bonus points; detailed caps and forex markup in MITC.axis.bank+1"
"Axis Bank KWIK RuPay Credit Card","RuPay axis.bank","Nil joining & annual.axis.bank","2 EDGE Reward Points/₹200 on domestic and international spends.axis.bank","No lounge access.axis.bank","1% fuel surcharge waiver cited on selected fuel spends; caps & forex markup (1.5–3.5%) are MITC‑only.axis.bank+1"
"IKEA Family Credit Card by Axis Bank","Not stated (network not in text) axis.bank","Nil joining & annual.axis.bank","3 EDGE Reward Points/₹100 on IKEA spends; 2 EDGE Points/₹100 on dining; standard points elsewhere.axis.bank","No lounge access in public features.axis.bank","No dedicated fuel waiver; forex markup portfolio band.axis.bank+1"
"Axis Bank Miles & More Select Credit Card","Not stated (network not specified) axis.bank","₹10,000 + GST joining; ₹4,500 + GST annual.axis.bank","6 award miles per ₹200 spend; welcome 15,000 miles.axis.bank","Complimentary international & domestic lounges linked to Miles & More programme; details in co‑brand MITC.axis.bank","Fuel waiver, if any, and forex markup fall under standard Axis card rules (1.5–3.5% band).axis.bank+1"
"Axis Bank Miles & More World Credit Card","Not stated (network not specified) axis.bank","₹3,500 + GST joining & annual.axis.bank","4 award miles per ₹200 spend; welcome 5,000 miles.axis.bank","Lounge access via programme; visit caps/spend thresholds outlined in MITC.axis.bank","Fuel and forex charges similar to Select; portfolio markup 1.5–3.5%.axis.bank+1"
"Axis Bank My Zone Easy Credit Card","Not stated (network not specified) axis.bank+1","Typically ₹500 + GST joining & annual in older schedules; current easy/secured variants shown with NIL fees in some bank pages.axis.bank+1","4 EDGE Reward Points per ₹200 spend; targeted at secured/FD‑backed customers.axis.bank","No airport lounge access.axis.bank","Standard issuer fuel waiver and forex markup (1.5–3.5%) apply; specifics in MITC.axis.bank+1"
"Axis Bank Reserve Credit Card (metal; invite only)","Not stated (network not specified) axis.bank+1","₹50,000 + GST joining & annual; invite‑only.axis.bank+2","15 EDGE Points/₹200 domestically; 30 EDGE Points/₹200 internationally, plus luxury hotel memberships and concierge benefits.axis.bank","Extensive domestic & international lounge access (including higher‑tier lounges), plus airport concierge; full rules in Reserve MITC.axis.bank+1","Fuel waiver present at high caps; forex markup generally at lower end of Axis range (exact % in MITC).axis.bank+1"
"Axis Bank Burgundy Private Credit Card (invite only)","Not stated (network not specified) axis.bank","₹50,000 + GST joining & annual, but complimentary for Burgundy Private account holders meeting TRV criteria; otherwise charged.axis.bank+1","15 EDGE Reward Points/₹200 on most spends.axis.bank","Complimentary lounge access globally, plus golf and premium travel benefits; visit caps under private banking MITC.axis.bank","Forex markup explicitly 0% on FX transactions in cardinsider summary; fuel waiver and any caps in private‑banking MITC.axis.bank+1"
"Axis Bank Primus Credit Card (super‑premium; invite only)","Not stated (network not specified) axis.bank+1","Joining fee ₹5,00,000; annual fee ₹3,00,000 for cards issued after July 31, 2024.axis.bank+1","1 EDGE Mile/₹100 on all transactions; large welcome benefit (25,000 EDGE Miles or hotel gift card).axis.bank","Unlimited domestic & international lounge access and concierge; complete schedule in Primus MITC.axis.bank+1","Fuel waiver and forex terms tailored for UHNI; public sources note lower interest and premium forex treatment, but precise markup % is only in MITC.axis.bank+1"
"LIC Axis Bank Signature Credit Card","Not stated (network not specified) axis.bank","Joining & annual fee Nil.axis.bank","2X rewards on LIC premium payments & foreign currency transactions; 1X reward on most other spends except fuel, wallet & EMI.axis.bank","Up to 8 complimentary domestic airport lounge visits per year.axis.bank","1% fuel surcharge waiver on eligible fuel spends; forex reward bonus on FX transactions, but markup % standard unless otherwise noted in MITC.axis.bank+1"
"LIC Axis Bank Platinum Credit Card","Not stated (network not specified) axis.bank","Joining & annual fee Nil.axis.bank","2X benefits on LIC premium payments & foreign currency transactions; 1X reward on other spends except fuel, wallet & EMI.axis.bank","No explicit lounge access; focus on insurance‑linked rewards.axis.bank","1% fuel surcharge waiver; forex markup portfolio standard.axis.bank+1"
